event_time,estimate,se,ci_lo,ci_hi,outcome,control_arm,window
-12,-0.0615146802957284,0.027657036934913,-0.115722472688158,-0.0073068879032987,log_supply,notyettreated,full series
-11,-0.0200854541503027,0.0261459977940297,-0.071331609826601,0.0311607015259955,log_supply,notyettreated,full series
-10,-0.0272547964628516,0.0258778665605052,-0.0779754149214418,0.0234658219957385,log_supply,notyettreated,full series
-9,0.003288648194222,0.0256902781750025,-0.047064297028783,0.053641593417227,log_supply,notyettreated,full series
-8,-0.0492043088903595,0.0229924790784782,-0.0942695678841769,-0.004139049896542,log_supply,notyettreated,full series
-7,-0.0444704832343317,0.0190616399144193,-0.0818312974665936,-0.0071096690020698,log_supply,notyettreated,full series
-6,-0.0494054785058124,0.0216906651392434,-0.0919191821787295,-0.0068917748328953,log_supply,notyettreated,full series
-5,-0.0080506040585069,0.0199321095299282,-0.0471175387371662,0.0310163306201524,log_supply,notyettreated,full series
-4,-0.0099278280638258,0.0176000311085705,-0.0444238890366242,0.0245682329089725,log_supply,notyettreated,full series
-3,0.0036648108507226,0.0191654206325002,-0.0338994135889778,0.0412290352904232,log_supply,notyettreated,full series
-2,0.0029958217454404,0.019529567179855,-0.0352821299270754,0.0412737734179562,log_supply,notyettreated,full series
-1,0.0,,,,log_supply,notyettreated,full series
0,0.0173568661459689,0.0148960759901769,-0.0118394427947779,0.0465531750867158,log_supply,notyettreated,full series
1,0.0465827604371187,0.0156635004679439,0.0158822995199485,0.077283221354289,log_supply,notyettreated,full series
2,0.0435154311736139,0.0166273687366252,0.0109257884498284,0.0761050738973995,log_supply,notyettreated,full series
3,0.0456976141466099,0.0171758596112486,0.0120329293085625,0.0793622989846573,log_supply,notyettreated,full series
4,0.0100359408698,0.0186286768301324,-0.0264762657172595,0.0465481474568596,log_supply,notyettreated,full series
5,0.0263970225012123,0.0156674171275786,-0.0043111150688417,0.0571051600712664,log_supply,notyettreated,full series
6,0.0496169588304166,0.0206271807739023,0.0091876845135679,0.0900462331472652,log_supply,notyettreated,full series
7,0.0557042575196716,0.0225203173111914,0.0115644355897364,0.0998440794496068,log_supply,notyettreated,full series
8,0.0522053690358112,0.0233829741295224,0.0063747397419472,0.0980359983296751,log_supply,notyettreated,full series
9,0.0666898384257957,0.0267326093499442,0.014293924099905,0.1190857527516864,log_supply,notyettreated,full series
10,0.0526743330677674,0.0273920375033906,-0.0010140604388782,0.1063627265744131,log_supply,notyettreated,full series
11,0.0325494623402858,0.0252469894813164,-0.0169346370430944,0.082033561723666,log_supply,notyettreated,full series
12,0.0469527704276603,0.0278432606825023,-0.0076200205100443,0.1015255613653649,log_supply,notyettreated,full series
-12,-0.3373414665770681,0.120947146497066,-0.5743978737113176,-0.1002850594428187,log_supply,nevertreated,full series
-11,-0.3253476579256669,0.1246840468068511,-0.5697283896670952,-0.0809669261842387,log_supply,nevertreated,full series
-10,-0.3769297246070437,0.1113589779267661,-0.5951933213435053,-0.1586661278705822,log_supply,nevertreated,full series
-9,-0.290567071419905,0.1056600657775222,-0.4976608003438486,-0.0834733424959614,log_supply,nevertreated,full series
-8,-0.2039950443583124,0.1063057266482593,-0.4123542685889007,0.0043641798722757,log_supply,nevertreated,full series
-7,-0.2274727247081492,0.1067807407189756,-0.4367629765173414,-0.0181824728989569,log_supply,nevertreated,full series
-6,-0.1561149352836194,0.0912332540435153,-0.3349321132089095,0.0227022426416707,log_supply,nevertreated,full series
-5,-0.0581383866190571,0.1028035361385748,-0.2596333174506638,0.1433565442125494,log_supply,nevertreated,full series
-4,-0.046584518022347,0.0715999003511763,-0.1869203227106526,0.0937512866659585,log_supply,nevertreated,full series
-3,0.0054125793197045,0.055506144088094,-0.1033794630929597,0.1142046217323688,log_supply,nevertreated,full series
-2,0.0398232646159712,0.0489609000795501,-0.056140099539947,0.1357866287718896,log_supply,nevertreated,full series
-1,0.0,,,,log_supply,nevertreated,full series
0,-0.0524825632486107,0.071218333380059,-0.1920704966735265,0.0871053701763049,log_supply,nevertreated,full series
1,-0.0290183421558224,0.0736860447242953,-0.1734429898154413,0.1154063055037964,log_supply,nevertreated,full series
2,0.1030503451241918,0.0611320809046597,-0.0167685334489412,0.2228692236973249,log_supply,nevertreated,full series
3,0.0946545573022401,0.0709669706588304,-0.0444407051890674,0.2337498197935477,log_supply,nevertreated,full series
4,-0.0138349900797194,0.1087445558048274,-0.2269743194571812,0.1993043392977423,log_supply,nevertreated,full series
5,0.0894206581394945,0.1054606648245958,-0.1172822449167133,0.2961235611957025,log_supply,nevertreated,full series
6,-0.0179157418810324,0.1128690069573586,-0.2391389955174553,0.2033075117553904,log_supply,nevertreated,full series
7,-0.0517793650425082,0.1146033779274139,-0.2764019857802395,0.172843255695223,log_supply,nevertreated,full series
8,-0.1627965720332025,0.1067624694347397,-0.3720510121252923,0.0464578680588873,log_supply,nevertreated,full series
9,-0.1906092854349825,0.1118468661134632,-0.4098291430173705,0.0286105721474054,log_supply,nevertreated,full series
10,-0.1712895488161773,0.1121565621036178,-0.3911164105392684,0.0485373129069136,log_supply,nevertreated,full series
11,-0.1237678307178921,0.1226146396723173,-0.3640925244756341,0.1165568630398497,log_supply,nevertreated,full series
12,-0.0603951154007278,0.1242557584499673,-0.3039364019626638,0.1831461711612081,log_supply,nevertreated,full series
-12,-0.0615146802957291,0.0277531910079467,-0.1159109346713046,-0.0071184259201535,log_supply,notyettreated,from 2021-09
-11,-0.0200854541503029,0.0254277830398831,-0.0699239089084739,0.029753000607868,log_supply,notyettreated,from 2021-09
-10,-0.0272547964628511,0.0259753886322783,-0.0781665581821166,0.0236569652564143,log_supply,notyettreated,from 2021-09
-9,0.0032886481942217,0.0252496264507343,-0.0462006196492174,0.0527779160376609,log_supply,notyettreated,from 2021-09
-8,-0.0492043088903602,0.0218296426628549,-0.0919904085095559,-0.0064182092711645,log_supply,notyettreated,from 2021-09
-7,-0.0444704832343317,0.019394955734082,-0.0824845964731325,-0.0064563699955308,log_supply,notyettreated,from 2021-09
-6,-0.0494054785058133,0.0218746317730597,-0.0922797567810105,-0.0065312002306161,log_supply,notyettreated,from 2021-09
-5,-0.0080506040585069,0.0204563981131269,-0.0481451443602358,0.0320439362432219,log_supply,notyettreated,from 2021-09
-4,-0.0099278280638259,0.0200042230168155,-0.0491361051767843,0.0292804490491325,log_supply,notyettreated,from 2021-09
-3,0.0036648108507227,0.0200190107543629,-0.0355724502278287,0.0429020719292742,log_supply,notyettreated,from 2021-09
-2,0.0029958217454397,0.0184378138940083,-0.0331422934868167,0.0391339369776961,log_supply,notyettreated,from 2021-09
-1,0.0,,,,log_supply,notyettreated,from 2021-09
0,0.0173568661459694,0.014795545549291,-0.011642403130641,0.0463561354225799,log_supply,notyettreated,from 2021-09
1,0.0465827604371177,0.0159125824844964,0.0153940987675047,0.0777714221067306,log_supply,notyettreated,from 2021-09
2,0.043515431173613,0.0166364266798008,0.0109080348812033,0.0761228274660226,log_supply,notyettreated,from 2021-09
3,0.0456976141466096,0.0170163857632786,0.0123454980505835,0.0790497302426357,log_supply,notyettreated,from 2021-09
4,0.0100359408697993,0.0189734172786314,-0.0271519569963181,0.0472238387359169,log_supply,notyettreated,from 2021-09
5,0.0263970225012112,0.0160103494757447,-0.0049832624712485,0.0577773074736709,log_supply,notyettreated,from 2021-09
6,0.0496169588304166,0.0200229870775627,0.0103719041583936,0.0888620135024396,log_supply,notyettreated,from 2021-09
7,0.0557042575196711,0.0232075013055717,0.0102175549607504,0.1011909600785917,log_supply,notyettreated,from 2021-09
8,0.0522053690358112,0.0227976592522736,0.0075219569013547,0.0968887811702676,log_supply,notyettreated,from 2021-09
9,0.0666898384257962,0.0276443493697924,0.0125069136610031,0.1208727631905894,log_supply,notyettreated,from 2021-09
10,0.052674333067767,0.027892327829514,-0.0019946294780804,0.1073432956136144,log_supply,notyettreated,from 2021-09
11,0.0325494623402845,0.0242442047445007,-0.0149691789589369,0.080068103639506,log_supply,notyettreated,from 2021-09
12,0.0469527704276586,0.0296384517712967,-0.011138595044083,0.1050441358994003,log_supply,notyettreated,from 2021-09
-12,-0.3373414665770681,0.1165828831169,-0.5658439174861923,-0.1088390156679439,log_supply,nevertreated,from 2021-09
-11,-0.3253476579256669,0.1174984758630423,-0.55564467061723,-0.0950506452341039,log_supply,nevertreated,from 2021-09
-10,-0.3769297246070437,0.1183294823786833,-0.6088555100692632,-0.1450039391448243,log_supply,nevertreated,from 2021-09
-9,-0.290567071419905,0.109982292057975,-0.5061323638535362,-0.0750017789862739,log_supply,nevertreated,from 2021-09
-8,-0.2039950443583124,0.1069086893031586,-0.4135360753925035,0.0055459866758785,log_supply,nevertreated,from 2021-09
-7,-0.2274727247081492,0.1006711541805889,-0.4247881869021034,-0.0301572625141949,log_supply,nevertreated,from 2021-09
-6,-0.1561149352836194,0.0924236069348382,-0.3372652048759023,0.0250353343086635,log_supply,nevertreated,from 2021-09
-5,-0.0581383866190571,0.1091015325499993,-0.2719773904170559,0.1557006171789415,log_supply,nevertreated,from 2021-09
-4,-0.046584518022347,0.071536881903005,-0.1867968065522368,0.0936277705075428,log_supply,nevertreated,from 2021-09
-3,0.0054125793197045,0.0568170125677436,-0.105948765313073,0.1167739239524821,log_supply,nevertreated,from 2021-09
-2,0.0398232646159712,0.0496936007019555,-0.0575761927598616,0.1372227219918042,log_supply,nevertreated,from 2021-09
-1,0.0,,,,log_supply,nevertreated,from 2021-09
0,-0.0524825632486107,0.0723753503849323,-0.194338250003078,0.0893731235058565,log_supply,nevertreated,from 2021-09
1,-0.0290183421558224,0.0766825834615323,-0.1793162057404257,0.1212795214287809,log_supply,nevertreated,from 2021-09
2,0.1030503451241918,0.0576978291930797,-0.0100374000942444,0.2161380903426281,log_supply,nevertreated,from 2021-09
3,0.0946545573022401,0.0647261201832487,-0.0322086382569274,0.2215177528614077,log_supply,nevertreated,from 2021-09
4,-0.0138349900797194,0.1107189254964589,-0.2308440840527789,0.2031741038933399,log_supply,nevertreated,from 2021-09
5,0.0894206581394945,0.1154094092147663,-0.1367817839214474,0.3156231002004365,log_supply,nevertreated,from 2021-09
6,-0.0179157418810324,0.111408472241183,-0.2362763474737512,0.2004448637116862,log_supply,nevertreated,from 2021-09
7,-0.0517793650425082,0.1102996606819296,-0.2679666999790903,0.1644079698940738,log_supply,nevertreated,from 2021-09
8,-0.1627965720332025,0.1076226906665126,-0.3737370457395673,0.0481439016731623,log_supply,nevertreated,from 2021-09
9,-0.1906092854349825,0.1058037296316981,-0.3979845955131109,0.0167660246431458,log_supply,nevertreated,from 2021-09
10,-0.1712895488161773,0.1109152094477981,-0.3886833593338616,0.0461042617015069,log_supply,nevertreated,from 2021-09
11,-0.1237678307178921,0.1263161131398381,-0.3713474124719749,0.1238117510361905,log_supply,nevertreated,from 2021-09
12,-0.0603951154007278,0.123623139101413,-0.3026964680394974,0.1819062372380416,log_supply,nevertreated,from 2021-09
