month,group_set,scripts,supply_months,date
202007,Never eligible,8451729.0,8451729.0,2020-07-01
202007,Stage 1,9271742.0,9271742.0,2020-07-01
202007,Stage 2,2219628.0,2219628.0,2020-07-01
202007,Stage 3,5752425.0,5752425.0,2020-07-01
202008,Never eligible,8155353.0,8155353.0,2020-08-01
202008,Stage 1,8943285.0,8943285.0,2020-08-01
202008,Stage 2,2148874.0,2148874.0,2020-08-01
202008,Stage 3,5555887.0,5555887.0,2020-08-01
202009,Never eligible,8190991.0,8190991.0,2020-09-01
202009,Stage 1,9030187.0,9030187.0,2020-09-01
202009,Stage 2,2157492.0,2157492.0,2020-09-01
202009,Stage 3,5547617.0,5547617.0,2020-09-01
202010,Never eligible,8371639.0,8371639.0,2020-10-01
202010,Stage 1,9282675.0,9282675.0,2020-10-01
202010,Stage 2,2229419.0,2229419.0,2020-10-01
202010,Stage 3,5698649.0,5698649.0,2020-10-01
202011,Never eligible,8313399.0,8313399.0,2020-11-01
202011,Stage 1,9054270.0,9054270.0,2020-11-01
202011,Stage 2,2210620.0,2210620.0,2020-11-01
202011,Stage 3,5577115.0,5577115.0,2020-11-01
202012,Never eligible,9212326.0,9212326.0,2020-12-01
202012,Stage 1,10315246.0,10315246.0,2020-12-01
202012,Stage 2,2570318.0,2570318.0,2020-12-01
202012,Stage 3,6342812.0,6342812.0,2020-12-01
202101,Never eligible,7220186.0,7220186.0,2021-01-01
202101,Stage 1,8042481.0,8042481.0,2021-01-01
202101,Stage 2,1872607.0,1872607.0,2021-01-01
202101,Stage 3,4905807.0,4905807.0,2021-01-01
202102,Never eligible,7420125.0,7420125.0,2021-02-01
202102,Stage 1,8160525.0,8160525.0,2021-02-01
202102,Stage 2,1956350.0,1956350.0,2021-02-01
202102,Stage 3,4984921.0,4984921.0,2021-02-01
202103,Never eligible,8573050.0,8573050.0,2021-03-01
202103,Stage 1,9473512.0,9473512.0,2021-03-01
202103,Stage 2,2282916.0,2282916.0,2021-03-01
202103,Stage 3,5775270.0,5775270.0,2021-03-01
202104,Never eligible,7817591.0,7817591.0,2021-04-01
202104,Stage 1,8804954.0,8804954.0,2021-04-01
202104,Stage 2,2111078.0,2111078.0,2021-04-01
202104,Stage 3,5386850.0,5386850.0,2021-04-01
202105,Never eligible,8298240.0,8298240.0,2021-05-01
202105,Stage 1,9162950.0,9162950.0,2021-05-01
202105,Stage 2,2224250.0,2224250.0,2021-05-01
202105,Stage 3,5628127.0,5628127.0,2021-05-01
202106,Never eligible,8393240.0,8393240.0,2021-06-01
202106,Stage 1,9214872.0,9214872.0,2021-06-01
202106,Stage 2,2240349.0,2240349.0,2021-06-01
202106,Stage 3,5677487.0,5677487.0,2021-06-01
202107,Never eligible,8531802.0,8531802.0,2021-07-01
202107,Stage 1,9553801.0,9553801.0,2021-07-01
202107,Stage 2,2326535.0,2326535.0,2021-07-01
202107,Stage 3,5868297.0,5868297.0,2021-07-01
202108,Never eligible,8503336.0,8503336.0,2021-08-01
202108,Stage 1,9561995.0,9561995.0,2021-08-01
202108,Stage 2,2326529.0,2326529.0,2021-08-01
202108,Stage 3,5875548.0,5875548.0,2021-08-01
202109,Never eligible,8210239.0,8210239.0,2021-09-01
202109,Stage 1,9365058.0,9365058.0,2021-09-01
202109,Stage 2,2262311.0,2262311.0,2021-09-01
202109,Stage 3,5737319.0,5737319.0,2021-09-01
202110,Never eligible,8116010.0,8116010.0,2021-10-01
202110,Stage 1,9440114.0,9440114.0,2021-10-01
202110,Stage 2,2283788.0,2283788.0,2021-10-01
202110,Stage 3,5760865.0,5760865.0,2021-10-01
202111,Never eligible,8485410.0,8485410.0,2021-11-01
202111,Stage 1,9671427.0,9671427.0,2021-11-01
202111,Stage 2,2369289.0,2369289.0,2021-11-01
202111,Stage 3,5906087.0,5906087.0,2021-11-01
202112,Never eligible,9053778.0,9053778.0,2021-12-01
202112,Stage 1,10595011.0,10595011.0,2021-12-01
202112,Stage 2,2641707.0,2641707.0,2021-12-01
202112,Stage 3,6473601.0,6473601.0,2021-12-01
202201,Never eligible,7226970.0,7226970.0,2022-01-01
202201,Stage 1,8496555.0,8496555.0,2022-01-01
202201,Stage 2,1981743.0,1981743.0,2022-01-01
202201,Stage 3,5186343.0,5186343.0,2022-01-01
202202,Never eligible,7282488.0,7282488.0,2022-02-01
202202,Stage 1,8435721.0,8435721.0,2022-02-01
202202,Stage 2,2009753.0,2009753.0,2022-02-01
202202,Stage 3,5118083.0,5118083.0,2022-02-01
202203,Never eligible,8472642.0,8472642.0,2022-03-01
202203,Stage 1,9698411.0,9698411.0,2022-03-01
202203,Stage 2,2336856.0,2336856.0,2022-03-01
202203,Stage 3,5888479.0,5888479.0,2022-03-01
202204,Never eligible,7738593.0,7738593.0,2022-04-01
202204,Stage 1,9162882.0,9162882.0,2022-04-01
202204,Stage 2,2198332.0,2198332.0,2022-04-01
202204,Stage 3,5562706.0,5562706.0,2022-04-01
202205,Never eligible,8717601.0,8717601.0,2022-05-01
202205,Stage 1,9637569.0,9637569.0,2022-05-01
202205,Stage 2,2366012.0,2366012.0,2022-05-01
202205,Stage 3,5938497.0,5938497.0,2022-05-01
202206,Never eligible,8762762.0,8762762.0,2022-06-01
202206,Stage 1,9468595.0,9468595.0,2022-06-01
202206,Stage 2,2337333.0,2337333.0,2022-06-01
202206,Stage 3,5878558.0,5878558.0,2022-06-01
202207,Never eligible,8838084.0,8838084.0,2022-07-01
202207,Stage 1,9562483.0,9562483.0,2022-07-01
202207,Stage 2,2357937.0,2357937.0,2022-07-01
202207,Stage 3,5944938.0,5944938.0,2022-07-01
202208,Never eligible,9396400.0,9396400.0,2022-08-01
202208,Stage 1,10004098.0,10004098.0,2022-08-01
202208,Stage 2,2484688.0,2484688.0,2022-08-01
202208,Stage 3,6227606.0,6227606.0,2022-08-01
202209,Never eligible,8851875.0,8851875.0,2022-09-01
202209,Stage 1,9646911.0,9646911.0,2022-09-01
202209,Stage 2,2397034.0,2397034.0,2022-09-01
202209,Stage 3,5964334.0,5964334.0,2022-09-01
