group_key,guard,detail
ACARBOSE | TABLET 100 MG,low_uptake,60-day share 3.3% of group volume
ACARBOSE | TABLET 50 MG,low_uptake,60-day share 4.2% of group volume
"ACLIDINIUM + FORMOTEROL | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE CONTAINING ACLIDINIUM 340 MICROGRAMS (AS BROMIDE) WITH FORMOTEROL FUMARATE DIHYDRATE 12 MICROGRAMS PER DOSE, 60 DOSES",low_uptake,60-day share 2.7% of group volume
"ACLIDINIUM | POWDER FOR ORAL INHALATION IN BREATH ACTUATED DEVICE 322 MICROGRAMS (AS BROMIDE) PER DOSE, 60 DOSES",low_uptake,60-day share 1.6% of group volume
"ADAPALENE + BENZOYL PEROXIDE | GEL 1 MG-25 MG PER G, 30 G",no_substitution,"30-day mean 8205 -> 8612, did not fall"
ALENDRONATE + COLECALCIFEROL | TABLET 70 MG (AS ALENDRONATE SODIUM) WITH 140 MICROGRAMS COLECALCIFEROL,low_uptake,60-day share 2.6% of group volume
ALENDRONATE + COLECALCIFEROL | TABLET 70 MG (AS ALENDRONATE SODIUM) WITH 70 MICROGRAMS COLECALCIFEROL,no_substitution,"30-day mean 6110 -> 6292, did not fall"
ALENDRONATE + COLECALCIFEROL | TABLET 70 MG (AS ALENDRONATE SODIUM) WITH 70 MICROGRAMS COLECALCIFEROL,low_uptake,60-day share 3.1% of group volume
ALENDRONATE | TABLET 70 MG (AS ALENDRONATE SODIUM),low_uptake,60-day share 4.4% of group volume
ALLOPURINOL | TABLET 100 MG,no_substitution,"30-day mean 44030 -> 46911, did not fall"
ALLOPURINOL | TABLET 100 MG,low_uptake,60-day share 2.5% of group volume
ALLOPURINOL | TABLET 300 MG,low_uptake,60-day share 4.7% of group volume
ALOGLIPTIN + METFORMIN | TABLET CONTAINING 12.5 MG ALOGLIPTIN (AS BENZOATE) WITH 1 G METFORMIN HYDROCHLORIDE,low_uptake,60-day share 2.7% of group volume
ALOGLIPTIN + METFORMIN | TABLET CONTAINING 12.5 MG ALOGLIPTIN (AS BENZOATE) WITH 500 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 3.0% of group volume
ALOGLIPTIN + METFORMIN | TABLET CONTAINING 12.5 MG ALOGLIPTIN (AS BENZOATE) WITH 850 MG METFORMIN HYDROCHLORIDE,low_uptake,60-day share 2.5% of group volume
ALOGLIPTIN | TABLET 12.5 MG (AS BENZOATE),low_uptake,60-day share 3.4% of group volume
ALOGLIPTIN | TABLET 25 MG (AS BENZOATE),low_uptake,60-day share 3.5% of group volume
ALOGLIPTIN | TABLET 6.25 MG (AS BENZOATE),low_uptake,60-day share 4.9% of group volume
AMANTADINE | CAPSULE CONTAINING AMANTADINE HYDROCHLORIDE 100 MG,no_substitution,"30-day mean 2161 -> 2163, did not fall"
AMANTADINE | CAPSULE CONTAINING AMANTADINE HYDROCHLORIDE 100 MG,low_uptake,60-day share 2.9% of group volume
AMILORIDE + HYDROCHLOROTHIAZIDE | TABLET CONTAINING HYDROCHLOROTHIAZIDE 50 MG WITH AMILORIDE HYDROCHLORIDE 5 MG,low_uptake,60-day share 3.5% of group volume
APIXABAN | TABLET 2.5 MG,low_uptake,60-day share 2.6% of group volume
APIXABAN | TABLET 5 MG,low_uptake,60-day share 3.3% of group volume
APOMORPHINE | INJECTION CONTAINING APOMORPHINE HYDROCHLORIDE HEMIHYDRATE 100 MG IN 20 ML,low_uptake,60-day share 2.9% of group volume
APOMORPHINE | SOLUTION FOR SUBCUTANEOUS INFUSION CONTAINING APOMORPHINE HYDROCHLORIDE HEMIHYDRATE 50 MG IN 10 ML PRE-FILLED SYRINGE,no_substitution,"30-day mean 30 -> 37, did not fall"
APOMORPHINE | SOLUTION FOR SUBCUTANEOUS INFUSION CONTAINING APOMORPHINE HYDROCHLORIDE HEMIHYDRATE 50 MG IN 10 ML PRE-FILLED SYRINGE,low_uptake,60-day share 3.9% of group volume
"ATENOLOL | ORAL SOLUTION 50 MG IN 10 ML, 300 ML",no_substitution,"30-day mean 185 -> 186, did not fall"
ATEZOLIZUMAB | SOLUTION FOR SUBCUTANEOUS INJECTION 1875 MG IN 15 ML,no_substitution,"30-day mean 3 -> 3, did not fall"
BACLOFEN | TABLET 10 MG,low_uptake,60-day share 2.7% of group volume
BACLOFEN | TABLET 25 MG,low_uptake,60-day share 2.7% of group volume
BALSALAZIDE | CAPSULE CONTAINING BALSALAZIDE SODIUM 750 MG,low_uptake,60-day share 2.6% of group volume
"BECLOMETASONE + FORMOTEROL + GLYCOPYRRONIUM | PRESSURISED INHALATION CONTAINING BECLOMETASONE DIPROPIONATE 100 MICROGRAMS WITH FORMOTEROL FUMARATE DIHYDRATE 6 MICROGRAMS AND GLYCOPYRRONIUM 10 MICROGRAMS (AS BROMIDE) PER DOSE, 120 DOSES",no_substitution,"30-day mean 16573 -> 17077, did not fall"
"BECLOMETASONE + FORMOTEROL | PRESSURISED INHALATION CONTAINING BECLOMETASONE DIPROPIONATE 200 MICROGRAMS AND FORMOTEROL FUMARATE DIHYDRATE 6 MICROGRAMS PER DOSE, 120 DOSES",no_substitution,"30-day mean 2080 -> 2359, did not fall"
"BECLOMETASONE | PRESSURISED INHALATION CONTAINING BECLOMETASONE DIPROPIONATE 100 MICROGRAMS PER DOSE, 200 DOSES (CFC-FREE FORMULATION)",low_uptake,60-day share 3.8% of group volume
