event_time,estimate,se,ci_lo,ci_hi,outcome,control_arm,window
-12,-0.061514680295728416,0.027657036934913073,-0.11572247268815804,-0.007306887903298795,log_supply,notyettreated,full series
-11,-0.020085454150302745,0.02614599779402972,-0.071331609826601,0.03116070152599551,log_supply,notyettreated,full series
-10,-0.027254796462851606,0.025877866560505204,-0.0779754149214418,0.023465821995738597,log_supply,notyettreated,full series
-9,0.003288648194222015,0.02569027817500258,-0.047064297028783036,0.053641593417227074,log_supply,notyettreated,full series
-8,-0.04920430889035954,0.022992479078478286,-0.09426956788417698,-0.004139049896542096,log_supply,notyettreated,full series
-7,-0.04447048323433171,0.019061639914419334,-0.08183129746659361,-0.0071096690020698156,log_supply,notyettreated,full series
-6,-0.04940547850581248,0.02169066513924341,-0.09191918217872956,-0.006891774832895395,log_supply,notyettreated,full series
-5,-0.008050604058506926,0.019932109529928244,-0.04711753873716628,0.03101633062015243,log_supply,notyettreated,full series
-4,-0.009927828063825845,0.017600031108570592,-0.044423889036624205,0.02456823290897251,log_supply,notyettreated,full series
-3,0.0036648108507226964,0.01916542063250026,-0.03389941358897781,0.041229035290423204,log_supply,notyettreated,full series
-2,0.0029958217454404265,0.019529567179855017,-0.035282129927075405,0.04127377341795626,log_supply,notyettreated,full series
-1,0,NA,NA,NA,log_supply,notyettreated,full series
0,0.017356866145968906,0.014896075990176989,-0.011839442794777992,0.0465531750867158,log_supply,notyettreated,full series
1,0.046582760437118786,0.015663500467943983,0.01588229951994858,0.077283221354289,log_supply,notyettreated,full series
2,0.04351543117361399,0.016627368736625275,0.010925788449828451,0.07610507389739954,log_supply,notyettreated,full series
3,0.04569761414660995,0.017175859611248654,0.01203292930856259,0.07936229898465731,log_supply,notyettreated,full series
4,0.010035940869800093,0.01862867683013245,-0.026476265717259508,0.046548147456859694,log_supply,notyettreated,full series
5,0.02639702250121236,0.015667417127578635,-0.004311115068841763,0.05710516007126648,log_supply,notyettreated,full series
6,0.049616958830416634,0.020627180773902375,0.009187684513567981,0.09004623314726529,log_supply,notyettreated,full series
7,0.055704257519671625,0.02252031731119143,0.011564435589736424,0.09984407944960683,log_supply,notyettreated,full series
8,0.0522053690358112,0.02338297412952243,0.006374739741947244,0.09803599832967516,log_supply,notyettreated,full series
9,0.06668983842579573,0.026732609349944224,0.014293924099905056,0.11908575275168641,log_supply,notyettreated,full series
10,0.05267433306776746,0.027392037503390646,-0.0010140604388782018,0.10636272657441312,log_supply,notyettreated,full series
11,0.032549462340285815,0.025246989481316446,-0.01693463704309442,0.08203356172366605,log_supply,notyettreated,full series
12,0.0469527704276603,0.027843260682502383,-0.007620020510044366,0.10152556136536497,log_supply,notyettreated,full series
-12,-0.33734146657706815,0.12094714649706605,-0.5743978737113176,-0.10028505944281871,log_supply,nevertreated,full series
-11,-0.32534765792566694,0.12468404680685113,-0.5697283896670952,-0.08096692618423873,log_supply,nevertreated,full series
-10,-0.37692972460704377,0.1113589779267661,-0.5951933213435053,-0.1586661278705822,log_supply,nevertreated,full series
-9,-0.29056707141990507,0.10566006577752224,-0.49766080034384863,-0.08347334249596147,log_supply,nevertreated,full series
-8,-0.20399504435831245,0.1063057266482593,-0.4123542685889007,0.004364179872275775,log_supply,nevertreated,full series
-7,-0.2274727247081492,0.10678074071897561,-0.4367629765173414,-0.018182472898956997,log_supply,nevertreated,full series
-6,-0.1561149352836194,0.09123325404351539,-0.33493211320890953,0.022702242641670756,log_supply,nevertreated,full series
-5,-0.05813838661905718,0.10280353613857483,-0.25963331745066387,0.14335654421254948,log_supply,nevertreated,full series
-4,-0.04658451802234703,0.07159990035117633,-0.18692032271065265,0.09375128666595858,log_supply,nevertreated,full series
-3,0.005412579319704541,0.05550614408809401,-0.10337946309295971,0.1142046217323688,log_supply,nevertreated,full series
-2,0.03982326461597126,0.048960900079550174,-0.056140099539947086,0.1357866287718896,log_supply,nevertreated,full series
-1,0,NA,NA,NA,log_supply,nevertreated,full series
0,-0.05248256324861079,0.07121833338005903,-0.1920704966735265,0.08710537017630493,log_supply,nevertreated,full series
1,-0.029018342155822406,0.07368604472429535,-0.1734429898154413,0.11540630550379646,log_supply,nevertreated,full series
2,0.10305034512419188,0.061132080904659755,-0.016768533448941234,0.22286922369732498,log_supply,nevertreated,full series
3,0.09465455730224015,0.07096697065883041,-0.04444070518906745,0.23374981979354775,log_supply,nevertreated,full series
4,-0.013834990079719459,0.10874455580482746,-0.22697431945718127,0.19930433929774238,log_supply,nevertreated,full series
5,0.08942065813949454,0.10546066482459587,-0.11728224491671338,0.2961235611957025,log_supply,nevertreated,full series
6,-0.017915741881032475,0.11286900695735862,-0.23913899551745538,0.2033075117553904,log_supply,nevertreated,full series
7,-0.051779365042508206,0.11460337792741393,-0.2764019857802395,0.17284325569522307,log_supply,nevertreated,full series
8,-0.1627965720332025,0.1067624694347397,-0.37205101212529235,0.046457868058887325,log_supply,nevertreated,full series
9,-0.19060928543498254,0.11184686611346327,-0.40982914301737056,0.028610572147405477,log_supply,nevertreated,full series
10,-0.17128954881617733,0.11215656210361787,-0.3911164105392684,0.04853731290691368,log_supply,nevertreated,full series
11,-0.12376783071789219,0.12261463967231731,-0.3640925244756341,0.11655686303984975,log_supply,nevertreated,full series
12,-0.06039511540072786,0.12425575844996736,-0.30393640196266386,0.18314617116120815,log_supply,nevertreated,full series
-12,-0.06151468029572911,0.027753191007946706,-0.11591093467130464,-0.007118425920153569,log_supply,notyettreated,from 2021-09
-11,-0.020085454150302946,0.02542778303988317,-0.06992390890847396,0.029753000607868063,log_supply,notyettreated,from 2021-09
-10,-0.027254796462851186,0.02597538863227832,-0.07816655818211668,0.023656965256414315,log_supply,notyettreated,from 2021-09
